"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"104",103,"U. of Minnesota-Twin Cities (History of Science and Technology)","68","100","60","102","38","75","39","88","65","95"
"105",104,"U. of Mississippi (History)","53","103","80","120","2","66","50","101","85","120"
"106",105,"U. of Missouri at Columbia (History)","95","120","99","130","48","95","62","109","81","111"
"107",106,"U. of Nebraska at Lincoln (History)","83","114","61","105","63","102","49","102","98","125"
"108",107,"U. of New Hampshire (History)","36","67","33","64","3","48","66","112","75","105"
"109",108,"U. of New Mexico Main Campus (History)","49","86","36","75","116","131","9","33","70","102"
"110",109,"U. of North Carolina at Chapel Hill (History)","8","20","10","26","51","95","53","91","9","17"
"111",110,"U. of North Texas (History)","121","135","128","135","10","83","117","134","124","137"
"112",111,"U. of Notre Dame (History)","11","26","14","33","3","22","84","111","19","32"
"113",112,"U. of Oklahoma Norman Campus (History)","65","100","64","107","18","77","89","122","63","100"
"114",113,"U. of Oklahoma Norman Campus (History of Science)","46","87","39","80","88","124","55","108","43","90"
"115",114,"U. of Oregon (History)","35","66","59","92","3","42","11","43","46","92"
"116",115,"U. of Pennsylvania (History)","3","10","2","12","6","53","17","51","5","15"
"117",116,"U. of Pittsburgh Main Campus (History)","49","87","42","76","18","82","39","83","51","85"
"118",117,"U. of Rochester (History)","18","38","8","22","35","80","35","79","33","74"
"119",118,"U. of South Carolina at Columbia (History)","22","53","21","45","2","84","83","120","35","70"
"120",119,"U. of Southern California (History)","50","88","49","87","77","114","6","20","57","90"
"121",120,"U. of Southern Mississippi (History)","133","137","123","135","88","129","122","132","132","137"
"122",121,"U. of Tennessee (History)","47","84","67","115","3","36","115","133","65","100"
"123",122,"U. of Texas at Austin (History)","61","95","88","121","91","122","5","20","30","52"
"124",123,"U. of Texas at Dallas (History of Ideas)","36","72","20","47","84","120","70","104","77","119"
"125",124,"U. of Toledo (History)","98","126","109","133","81","130","96","125","76","120"
