"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"132",131,"U. of Notre Dame (Physics)","40","104","25","99","51","131","28","81","52","104"
"133",132,"U. of Oklahoma Norman Campus (Physics)","17","32","13","33","16","30","12","24","5","25"
"134",133,"U. of Oregon (Physics)","27","95","9","66","126","155","122","148","46","93"
"135",134,"U. of Pennsylvania (Physics and Astronomy)","4","23","5","40","4","42","34","86","20","37"
"136",135,"U. of Pittsburgh Main Campus (Physics and Astronomy)","23","80","27","105","32","107","50","103","30","62"
"137",136,"U. of Rochester (Optics)","45","109","35","116","42","117","65","126","28","54"
"138",137,"U. of Rochester (Physics)","11","53","15","83","46","125","52","102","9","32"
"139",138,"U. of South Carolina at Columbia (Physics)","69","133","36","119","118","153","13","52","103","154"
"140",139,"U. of South Florida (Physics)","132","155","125","153","13","94","11","44","145","160"
"141",140,"U. of Southern California (Physics)","97","140","95","144","36","104","69","122","83","142"
"142",141,"U. of Tennessee (Physics)","79","134","65","130","91","152","102","136","45","94"
"143",142,"U. of Texas at Austin (Physics)","25","80","33","110","16","72","158","160","4","17"
"144",143,"U. of Texas at Dallas (Physics)","78","140","48","126","22","102","121","148","90","149"
"145",144,"U. of Toledo (Physics)","104","147","102","153","23","94","39","92","87","140"
"146",145,"U. of Utah (Physics)","71","130","35","113","97","146","100","138","55","109"
"147",146,"U. of Virginia (Physics)","31","95","36","112","5","70","118","145","38","86"
"148",147,"U. of Virginia (Engineering Physics)","47","122","24","113","18","86","146","154","72","134"
"149",148,"U. of Washington (Physics)","20","67","23","103","48","124","153","158","15","35"
"150",149,"U. of Wisconsin at Madison (Medical Physics)","124","155","113","153","132","158","34","95","61","143"
"151",150,"U. of Wisconsin at Madison (Physics)","21","69","22","94","49","123","107","141","13","32"
"152",151,"U. of Wisconsin at Milwaukee (Physics)","68","125","83","139","10","93","11","50","72","128"
"153",152,"Utah State U. (Physics (SCI))","120","154","117","153","7","79","131","150","101","149"
"154",153,"Vanderbilt U. (Physics)","73","130","47","123","74","139","27","76","62","120"
"155",154,"Virginia Tech (Physics)","52","113","71","133","6","46","17","57","92","140"
"156",155,"Wake Forest U. (Physics)","54","117","71","134","2","30","71","124","74","135"
"157",156,"Washington State U. (Physics and Astronomy)","94","146","52","126","143","157","41","98","75","136"
"158",157,"Washington U. in St. Louis (Physics)","52","115","66","129","18","87","44","102","32","79"
"159",158,"Wayne State U. (Physics)","55","121","19","89","129","154","82","129","91","141"
"160",159,"Western Michigan U. (Physics)","133","155","130","157","16","105","2","21","146","160"
"161",160,"Yale U. (Applied Physics)","33","105","18","98","77","144","35","97","34","83"
"162",161,"Yale U. (Physics)","7","41","5","43","54","126","63","114","15","32"
