"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"112",111,"U. of Southern California (Mechanical Engineering)","73","106","40","89","97","117","48","101","44","86"
"113",112,"U. of Tennessee (Mechanical, Aerospace, and Biomedical Engineering)","61","102","49","106","71","114","66","109","77","116"
"114",113,"U. of Texas at Austin (Mechanical Engineering)","34","77","25","79","28","75","92","114","7","27"
"115",114,"U. of Toledo (Mechanical Engineering)","49","91","50","105","33","84","15","41","39","96"
"116",115,"U. of Utah (Mechanical Engineering)","94","118","64","116","104","117","110","121","18","62"
"117",116,"U. of Virginia (Mechanical &amp; Aerospace Engineering)","31","72","31","99","3","16","78","112","20","56"
"118",117,"U. of Washington (Mechanical Engineering)","21","54","21","70","16","49","32","66","24","61"
"119",118,"U. of Wisconsin at Madison (Mechanical Engineering)","31","76","18","70","62","98","42","87","12","41"
"120",119,"Utah State U. (Mechanical Engineering)","85","118","59","121","58","102","122","126","82","113"
"121",120,"Vanderbilt U. (Mechanical Engineering)","41","86","55","113","10","61","72","111","74","112"
"122",121,"Virginia Commonwealth U. (Mechanical Engineering)","47","95","33","99","92","118","7","18","114","127"
"123",122,"Virginia Tech (Mechanical Engineering)","31","67","50","108","28","77","106","119","16","53"
"124",123,"Washington State U. (Mechanical Engineering)","35","70","54","103","2","22","17","40","57","100"
"125",124,"Washington U. in St. Louis (Mechanical and Aerospace Engineering)","49","97","33","97","95","115","20","52","37","74"
"126",125,"Wayne State U. (Mechanical Engineering)","106","122","84","120","120","124","42","90","62","95"
"127",126,"Western Michigan U. (Mechanical Engineering)","106","123","120","127","22","86","5","19","87","122"
"128",127,"Yale U. (Mechanical Engineering)","14","41","5","27","14","70","49","103","21","66"
