"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"74",73,"Purdue U. Main Campus (Chemistry)","20","59","24","89","88","158","19","49","10","32"
"75",74,"Rensselaer Polytechnic Institute (Chemistry)","56","110","64","143","70","155","15","42","95","154"
"76",75,"Rice U. (Chemistry)","9","32","7","37","31","117","43","92","22","70"
"77",76,"Rutgers U. at New Brunswick (Chemistry and Chemical Biology)","69","139","41","115","87","161","46","98","63","128"
"78",77,"San Diego State U. and U. of California at San Diego (Chemistry)","124","170","101","167","76","165","50","111","132","169"
"79",78,"Southern Illinois U. at Carbondale (Chemistry)","105","168","90","164","76","174","10","30","126","172"
"80",79,"Stanford U. (Chemistry)","5","13","4","15","78","158","128","167","4","14"
"81",80,"State U. of New York at Albany (Chemistry)","75","147","54","148","141","174","2","5","110","175"
"82",81,"State U. of New York at Stony Brook (Chemistry)","20","68","24","92","13","88","24","68","27","82"
"83",82,"Syracuse U. Main Campus (Chemistry)","77","147","58","134","62","148","27","74","62","126"
"84",83,"Temple U. (Chemistry)","81","143","81","147","139","174","24","63","84","141"
"85",84,"Tennessee Technological U. (Environmental Sciences)","168","177","159","177","37","133","113","159","173","178"
"86",85,"Texas A&M U. (Chemistry)","41","97","30","106","99","163","53","108","26","68"
"87",86,"Texas Christian U. (Chemistry)","138","172","125","173","39","139","37","103","136","173"
"88",87,"Texas Tech U. (Chemistry)","102","159","110","168","99","160","72","136","81","150"
"89",88,"Tufts U. (Chemistry)","80","149","60","138","96","162","32","86","49","110"
"90",89,"Tulane U. (Chemistry)","106","163","82","159","55","146","20","61","111","159"
"91",90,"U. at Buffalo (SUNY) (Chemistry)","93","151","62","138","59","145","83","139","55","103"
"92",91,"U. of Akron (Chemistry)","79","149","64","147","57","153","30","75","121","165"
"93",92,"U. of Akron (Polymer Science)","25","84","24","106","10","113","87","142","70","146"
"94",93,"U. of Alabama (Chemistry)","43","104","26","98","12","88","72","129","46","105"
