"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"78",77,"U. of Colorado at Boulder (Mathematics)",112,125,94,116,113,123,118,122,76,104
"79",78,"U. of Connecticut (Mathematics Ph.D.)",75,98,73,101,27,89,71,98,71,98
"80",79,"U. of Delaware (Mathematics)",11,40,7,33,52,102,16,44,20,54
"81",80,"U. of Florida (Mathematics)",50,82,32,66,46,106,25,62,35,63
"82",81,"U. of Georgia (Mathematics)",71,96,73,99,35,97,37,71,53,77
"83",82,"U. of Hawaii-Manoa (Mathematics)",123,127,117,125,86,117,126,127,87,114
"84",83,"U. of Houston main campus (Mathematics)",33,68,41,72,1,32,2,12,61,98
"85",84,"U. of Illinois at Chicago (Mathematics)",31,68,31,71,65,106,11,32,16,51
"86",85,"U. of Illinois at Urbana-Champaign (Mathematics)",17,47,12,36,105,121,53,88,12,36
"87",86,"U. of Iowa (Mathematics)",39,65,64,85,4,44,31,61,58,87
"88",87,"U. of Kansas (Mathematics)",34,76,30,72,27,93,16,47,49,80
"89",88,"U. of Kentucky (Mathematics)",28,57,37,67,3,30,99,116,37,69
"90",89,"U. of Maryland at College Park (Mathematics)",25,50,13,30,101,120,105,118,13,38
"91",90,"U. of Massachusetts at Amherst (Mathematics)",15,47,8,32,32,96,85,106,25,56
"92",91,"U. of Memphis (Mathematics)",68,94,75,104,47,106,8,20,106,123
"93",92,"U. of Miami (Mathematics)",52,87,33,71,64,114,65,91,63,98
"94",93,"U. of Michigan at Ann Arbor (Mathematics)",7,20,6,23,27,83,54,88,4,12
"95",94,"U. of Minnesota-Twin Cities (Mathematics)",30,58,25,54,56,104,18,55,19,46
"96",95,"U. of Mississippi (Mathematics)",126,127,126,127,3,63,20,46,126,127
"97",96,"U. of Missouri at Columbia (Mathematics)",37,62,34,62,13,70,19,51,48,71
"98",97,"U. of Missouri at Rolla (Mathematics)",93,115,79,107,112,123,89,110,77,114
"99",98,"U. of Nebraska at Lincoln (Mathematics)",45,72,63,91,14,69,72,99,66,100
"100",99,"U. of New Hampshire (Mathematics)",78,108,64,89,116,126,1,5,79,120
"101",100,"U. of North Carolina at Chapel Hill (Mathematics)",41,76,41,77,30,97,24,60,48,77
"102",101,"U. of North Texas (Mathematics)",88,115,68,98,75,123,44,80,85,115
"103",102,"U. of Notre Dame (Mathematics)",10,27,15,40,2,32,56,88,19,49
"104",103,"U. of Oklahoma Norman Campus (Mathematics)",85,105,88,115,71,112,23,57,66,94
"105",104,"U. of Oregon (Mathematics)",30,61,28,61,38,101,123,125,36,68
"106",105,"U. of Pennsylvania (Mathematics)",25,54,33,65,11,56,70,100,17,42
"107",106,"U. of Pittsburgh Main Campus (Mathematics)",34,63,35,64,25,94,34,71,28,55
"108",107,"U. of Rhode Island (Mathematics)",91,117,108,125,2,35,73,100,112,126
"109",108,"U. of Rochester (Mathematics)",18,64,13,59,14,106,32,70,37,78
"110",109,"U. of South Carolina at Columbia (Mathematics)",77,103,58,84,113,125,28,67,58,87
"111",110,"U. of South Florida (Mathematics)",104,121,97,115,78,114,22,59,93,116
"112",111,"U. of Southern California (Mathematics)",49,86,32,71,34,98,124,127,45,74
"113",112,"U. of Tennessee (Mathematics)",36,62,43,69,25,81,72,97,39,65
"114",113,"U. of Texas at Austin (Mathematics)",12,32,9,29,40,94,120,124,9,30
"115",114,"U. of Toledo (Mathematics)",118,126,125,127,26,104,3,15,98,120
"116",115,"U. of Utah (Mathematics)",38,71,25,62,31,100,59,89,42,67
"117",116,"U. of Vermont (Mathematical Sciences)",59,101,47,76,31,97,76,105,59,112
"118",117,"U. of Virginia (Mathematics)",24,56,39,74,2,33,64,91,50,74
"119",118,"U. of Washington (Mathematics)",29,59,26,60,38,90,100,115,26,50
"120",119,"U. of Wisconsin at Madison (Mathematics)",6,16,6,22,28,84,71,100,6,15
"121",120,"U. of Wisconsin at Milwaukee (Mathematics)",94,119,73,110,85,113,46,85,76,109
"122",121,"Vanderbilt U. (Mathematics)",11,31,21,55,1,24,42,83,17,48
"123",122,"Virginia Tech (Mathematics)",52,82,63,90,11,60,31,65,61,93
"124",123,"Washington U. in St. Louis (Mathematics)",60,90,62,97,26,77,84,106,55,78
"125",124,"Wayne State U. (Mathematics)",62,91,71,97,9,75,1,8,79,115
"126",125,"Western Michigan U. (Mathematics)",72,97,101,117,1,51,70,93,75,110
"127",126,"Yale U. (Mathematics)",5,13,4,13,9,61,29,75,4,11
