"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"134",133,"U. of Tennessee (Comparative and Experimental Medicine)","76","133","103","150","5","51","50","111","93","145"
"135",134,"U. of Texas at Austin (Biochemistry)","42","117","26","106","9","76","50","100","73","120"
"136",135,"U. of Texas at Dallas (Molecular and Cell Biology)","135","158","73","146","154","158","20","69","122","156"
"137",136,"U. of Texas Health Science Center at Houston and U. of Texas M.D. Anderson Cancer Center (Biochemistry and Molecular Biology)","33","105","28","114","36","116","7","14","65","126"
"138",137,"U. of Texas Southwestern Medical Center at Dallas (Biological Chemistry)","24","83","15","75","59","137","120","146","31","58"
"139",138,"U. of Texas Southwestern Medical Center at Dallas (Cell Regulation)","8","44","2","41","56","128","86","126","14","27"
"140",139,"U. of Texas Southwestern Medical Center at Dallas (Molecular Biophysics)","16","61","14","69","33","108","76","114","23","49"
"141",140,"U. of Toledo (Biological Science)","72","140","66","142","16","78","8","23","118","154"
"142",141,"U. of Toledo (Molecular &amp; Cellular Biology)","95","148","99","151","17","88","79","120","88","129"
"143",142,"U. of Utah (Biochemistry)","79","142","55","133","48","141","96","130","51","96"
"144",143,"U. of Vermont (Biochemistry)","59","134","12","66","122","154","156","158","33","72"
"145",144,"U. of Virginia (Biophysics)","12","55","14","83","20","88","35","79","46","102"
"146",145,"U. of Virginia (Biochemistry &amp; Molecular Genetics)","16","58","21","88","4","74","57","110","23","56"
"147",146,"U. of Washington (Biochemistry)","21","69","15","74","24","82","153","156","24","44"
"148",147,"U. of Wisconsin at Madison (Biochemistry)","10","42","8","50","90","143","116","149","7","18"
"149",148,"U. of Wisconsin at Madison (Biomolecular Chemistry)","39","112","31","124","72","139","64","113","44","79"
"150",149,"U. of Wisconsin at Madison (Biophysics)","11","50","5","54","39","126","137","154","21","49"
"151",150,"Uniformed Services U. of the Health Sciences (Molecular and Cell Biology)","83","145","43","129","75","135","83","128","99","143"
"152",151,"Vanderbilt U. (Biochemistry)","12","49","8","67","32","105","72","131","29","74"
"153",152,"Virginia Commonwealth U. (Biochemistry)","36","109","28","107","63","133","20","67","63","112"
"154",153,"Virginia Tech (Biochemistry)","50","120","66","142","11","97","12","48","77","140"
"155",154,"Wake Forest U. (Biochemistry and Molecular Biology)","38","115","25","110","5","90","36","87","91","135"
"156",155,"Washington State U. (School of Molecular Biosciences)","49","119","49","124","104","146","40","91","40","86"
"157",156,"Washington U. in St. Louis (Biochemistry)","14","56","17","91","6","79","121","151","27","55"
"158",157,"Washington U. in St. Louis (Molecular Biophysics)","17","68","24","96","13","101","103","144","41","77"
"159",158,"Wayne State U. (Biochemistry and Molecular Biology)","82","143","87","148","10","84","8","19","110","148"
"160",159,"Yale U. (Molecular Biophysics &amp; Biochemistry)","4","24","6","43","53","118","93","135","3","10"
