"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"96",95,"U. of Massachusetts at Amherst (Computer Science)","13","55","10","64","17","75","67","107","15","44"
"97",96,"U. of Memphis (Computer Science)","105","123","92","120","82","112","101","118","111","126"
"98",97,"U. of Michigan at Ann Arbor (Computer Science and Engineering)","12","45","12","56","52","95","50","90","10","25"
"99",98,"U. of Minnesota-Twin Cities (Computer Science)","27","66","14","65","35","92","68","110","20","41"
"100",99,"U. of Nebraska at Lincoln (Computer Science)","12","45","34","89","1","15","7","26","30","60"
"101",100,"U. of New Mexico Main Campus (Computer Science)","80","116","47","104","94","115","98","119","73","109"
"102",101,"U. of North Carolina at Chapel Hill (Computer Science)","6","36","5","38","16","74","102","118","5","14"
"103",102,"U. of North Carolina at Charlotte (Ph.D. in Information Technology)","87","114","92","121","15","72","5","23","87","112"
"104",103,"U. of North Texas (Computer Science)","119","125","117","125","119","125","18","51","104","121"
"105",104,"U. of Oklahoma Norman Campus (Computer Science)","46","92","33","96","94","115","81","116","53","92"
"106",105,"U. of Oregon (Computer and Information Sciences)","94","116","91","118","98","118","51","90","68","98"
"107",106,"U. of Pennsylvania (Computer and Information Science-SEAS)","3","15","4","30","11","58","93","116","7","18"
"108",107,"U. of Pittsburgh Main Campus (Computer Science)","16","57","13","61","12","68","4","18","29","49"
"109",108,"U. of Rochester (Computer Science)","7","39","10","61","2","18","70","108","13","32"
"110",109,"U. of South Carolina at Columbia (Computer Science and Engineering)","55","97","60","109","5","38","8","28","84","109"
"111",110,"U. of South Florida (Computer Science and Engineering)","18","62","10","60","35","91","33","68","36","66"
"112",111,"U. of Southern California (Computer Science)","16","57","9","57","25","82","27","64","16","35"
"113",112,"U. of Southern Mississippi (Computational Science)","119","126","116","125","36","86","3","14","124","126"
"114",113,"U. of Tennessee (Computer Science)","55","96","24","83","111","124","61","104","59","95"
"115",114,"U. of Texas at Austin (Computer Sciences)","22","66","6","45","103","117","125","125","8","22"
"116",115,"U. of Texas at Dallas (Computer Science)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"117",116,"U. of Utah (Computer Science)","45","81","37","94","8","42","94","117","40","68"
"118",117,"U. of Virginia (Computer Science)","20","59","12","59","18","78","25","57","25","43"
"119",118,"U. of Washington (Computer Science and Engineering)","17","55","15","73","21","80","64","104","15","32"
"120",119,"U. of Wisconsin at Madison (Computer Sciences)","10","48","7","43","37","89","88","115","10","22"
"121",120,"Vanderbilt U. (Computer Science)","22","64","23","84","4","30","59","98","48","87"
"122",121,"Virginia Tech (Computer Science and Applications)","45","83","44","98","46","93","21","51","45","78"
"123",122,"Washington State U. (Computer Science)","60","102","49","107","59","113","39","85","77","109"
"124",123,"Washington U. in St. Louis (Computer Science and Engineering)","17","62","17","81","48","95","73","108","40","72"
"125",124,"Wayne State U. (Computer Science)","62","101","42","98","101","118","67","112","75","102"
"126",125,"Western Michigan U. (Computer Sciences)","67","115","20","91","80","121","31","74","107","124"
"127",126,"Wright State U. Main Campus (Computer Science and Engineering)","65","105","58","110","29","85","114","124","90","112"
"128",127,"Yale U. (Computer Science)","17","59","17","75","4","43","85","116","31","52"
