"","X","Institution..program","S.Rank.High","S.Rank.Low","Research.High","Research.Low","Students.High","Students.Low","Diversity.High","Diversity.Low","R.Rank.High","R.Rank.Low"
"93",92,"U. of Iowa (Geoscience)","56","103","57","116","23","83","33","71","34","66"
"94",93,"U. of Kansas (Geology)","69","110","68","126","69","112","43","77","71","109"
"95",94,"U. of Kentucky (Geology)","82","123","85","135","34","106","135","138","62","110"
"96",95,"U. of Kentucky (Soil Science)","94","130","73","131","46","119","75","113","127","138"
"97",96,"U. of Maryland at College Park (Geology)","12","40","10","40","16","93","4","23","13","46"
"98",97,"U. of Massachusetts at Amherst (Geosciences)","67","108","44","100","105","132","43","83","35","74"
"99",98,"U. of Michigan at Ann Arbor (Geology)","11","39","12","47","36","94","48","85","9","25"
"100",99,"U. of Minnesota-Twin Cities (Geology)","27","69","20","59","55","108","38","75","16","40"
"101",100,"U. of Minnesota-Twin Cities (Geophysics)","5","29","2","22","2","76","39","98","17","57"
"102",101,"U. of Minnesota-Twin Cities (Soil Science)","42","104","51","118","3","125","7","27","69","128"
"103",102,"U. of Missouri at Columbia (Geology)","35","92","48","123","1","20","47","87","95","127"
"104",103,"U. of Missouri at Columbia (Soil, Environmental and Atmospheric Sciences)","34","93","44","120","4","52","128","136","74","115"
"105",104,"U. of Missouri at Kansas City (Geosciences)","138","140","134","140","110","136","109","131","128","138"
"106",105,"U. of Missouri at Rolla (Geological Engineering)","132","140","134","140","26","111","126","135","139","140"
"107",106,"U. of Missouri at Rolla (Geology &amp; Geophysics)","112","136","71","126","119","138","2","11","120","136"
"108",107,"U. of Nebraska at Lincoln (Geosciences)","83","121","64","121","40","102","109","129","77","116"
"109",108,"U. of Nevada at Reno (Environmental Science &amp; Health (Environmental Toxicology &amp; Health))","128","138","128","139","112","134","74","122","66","113"
"110",109,"U. of Nevada at Reno (Geo-Engineering)","121","138","84","133","139","140","131","138","94","130"
"111",110,"U. of Nevada at Reno (Geology)","103","131","75","129","132","137","125","134","66","105"
"112",111,"U. of Nevada at Reno (Hydrogeology)","99","137","62","126","123","140","133","138","47","119"
"113",112,"U. of Nevada at Reno (Hydrology)","83","122","60","123","96","125","128","135","87","123"
"114",113,"U. of New Hampshire (Earth and Environmental Sciences)","23","68","7","43","129","137","73","112","48","88"
"115",114,"U. of New Mexico Main Campus (Earth And Planetary Sciences)","41","94","39","105","27","97","35","74","61","99"
"116",115,"U. of North Carolina at Chapel Hill (Geological Sciences)","97","128","64","122","39","113","138","140","60","115"
"117",116,"U. of North Texas (Environmental Science)","119","137","110","138","107","133","11","36","114","132"
"118",117,"U. of Oklahoma Norman Campus (Geology)","62","115","56","123","33","111","98","125","54","94"
"119",118,"U. of Oregon (Geological Sciences)","28","73","22","76","32","98","22","52","74","110"
"120",119,"U. of Pennsylvania (Earth and Environmental Science)","44","101","79","132","2","30","54","109","83","121"
"121",120,"U. of Rhode Island (Earth Sciences)","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R","N/R"
"122",121,"U. of Rochester (Geological Sciences)","31","89","12","57","29","111","38","77","86","126"
"123",122,"U. of South Carolina at Columbia (Geology)","38","87","35","100","7","44","34","67","73","111"
"124",123,"U. of Southern California (Geological (Earth) Sciences)","29","74","28","77","14","76","54","96","24","52"
"125",124,"U. of Tennessee (Earth And Planetary Sciences)","48","93","49","102","13","87","63","109","30","66"
"126",125,"U. of Texas at Austin (Geological Sciences)","57","102","52","116","73","110","98","123","25","65"
"127",126,"U. of Texas at Dallas (Geosciences)","85","125","37","101","111","128","88","122","111","137"
"128",127,"U. of Utah (Geology and Geophysics)","73","111","96","132","10","86","91","121","46","82"
"129",128,"U. of Virginia (Environmental Sciences)","28","74","19","64","96","123","44","87","19","45"
"130",129,"U. of Washington (Geological Sciences)","22","66","24","82","14","84","41","92","16","42"
"131",130,"U. of Washington (Geophysics)","35","90","25","80","66","107","111","131","20","44"
"132",131,"U. of Wisconsin at Madison (Geology)","18","59","13","53","23","91","30","72","28","59"
"133",132,"U. of Wisconsin at Madison (Land Resources)","49","99","53","117","85","115","18","49","20","55"
"134",133,"U. of Wisconsin at Madison (Soil Science)","35","89","31","101","10","62","2","14","59","114"
"135",134,"Virginia Tech (Geosciences)","40","87","43","101","21","81","71","110","36","69"
"136",135,"Washington State U. (Environmental and Natural Resource Sciences)","73","116","78","132","90","118","26","64","85","129"
"137",136,"Washington State U. (Geology)","49","106","43","115","18","98","135","138","92","130"
"138",137,"Washington State U. (Soil Sciences)","18","61","47","115","3","64","2","16","56","98"
"139",138,"Washington U. in St. Louis (Earth And Planetary Sciences)","60","109","62","122","32","93","20","57","62","99"
"140",139,"Western Michigan U. (Hydrogeology)","114","135","104","136","42","118","123","133","82","121"
"141",140,"Yale U. (Geology &amp; Geophysics)","17","49","11","40","27","83","121","133","6","16"
